Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PS/G
95,Antonio Daniels\daniean01,PG,32,WAS,71,63,30.4,2.9,6.3,0.459,0.2,1,0.23,2.6,5.3,0.504,0.478,2.4,3.1,0.776,0.3,2.5,2.9,4.8,1,0,1.3,1.1,8.4
96,Marquis Daniels\daniema01,SG,27,IND,74,1,20.9,3.3,7.6,0.43,0.4,1.4,0.265,2.9,6.2,0.466,0.454,1.3,1.9,0.698,0.9,2,2.9,1.9,1.1,0.2,1.5,1.6,8.2
97,Jermareo Davidson\davidje01,SF,23,CHA,38,2,8.5,1.3,3.3,0.408,0,0,,1.3,3.3,0.408,0.408,0.5,0.7,0.643,0.6,1.1,1.6,0.3,0.2,0.4,0.4,1.2,3.2
98,Baron Davis\davisba01,PG,28,GSW,82,82,39,7.9,18.6,0.426,2.1,6.4,0.33,5.8,12.2,0.477,0.483,3.9,5.2,0.75,1.2,3.5,4.7,7.6,2.3,0.5,2.8,3,21.8
99,Glen Davis\davisgl01,C,22,BOS,69,1,13.6,1.6,3.2,0.484,0,0,,1.6,3.2,0.484,0.484,1.4,2.2,0.66,1.4,1.6,3,0.4,0.4,0.3,0.9,2.3,4.5
100,Paul Davis\davispa01,PF,23,LAC,22,1,8.8,1.1,3,0.369,0,0,,1.1,3,0.369,0.369,0.3,0.5,0.6,1.1,1,2.1,0.5,0.3,0.3,0.4,1.5,2.5
101,Ricky Davis\davisri01,SF,28,MIA,82,47,36.1,5.1,11.8,0.433,1.6,4.1,0.405,3.5,7.8,0.447,0.502,1.9,2.4,0.787,0.7,3.6,4.3,3.4,1.1,0.2,2.3,2.3,13.8
102,Carlos Delfino\delfica01,SG,25,TOR,82,0,23.5,3.1,7.7,0.397,1.5,3.8,0.382,1.6,3.9,0.412,0.492,1.4,1.9,0.744,0.8,3.6,4.4,1.8,0.8,0.1,0.9,2.2,9
103,Luol Deng\denglu01,SF,22,CHI,63,59,33.8,6.8,14.2,0.479,0.1,0.3,0.364,6.7,13.9,0.482,0.483,3.2,4.2,0.77,2.2,4.1,6.3,2.5,0.9,0.5,1.9,1.9,17
104,Boris Diaw\diawbo01,PF,25,PHO,82,19,28.1,3.8,7.9,0.477,0.2,0.5,0.317,3.6,7.4,0.488,0.487,1.2,1.6,0.744,1.2,3.4,4.6,3.9,0.7,0.5,1.9,2,8.8
105,Yakhouba Diawara\diawaya01,SG,25,DEN,54,14,10,1,2.5,0.41,0.4,1.2,0.318,0.6,1.3,0.5,0.489,0.4,0.6,0.71,0.4,0.7,1.1,0.7,0.1,0.1,0.3,1.1,2.8
106,Guillermo Diaz\diazgu01,SG,22,LAC,6,0,3,0.2,0.7,0.25,0,0.2,0,0.2,0.5,0.333,0.25,0.5,0.8,0.6,0.3,0,0.3,0.2,0,0,0,0,0.8
107,Dan Dickau\dickada01,PG,29,LAC,67,8,15.5,1.9,4.4,0.419,0.5,1.6,0.333,1.3,2.8,0.468,0.48,1,1.2,0.829,0.2,1.3,1.4,2.6,0.5,0,0.8,1.6,5.3
108,Kaniel Dickens\dickeka01,PF,29,CLE,5,0,2.4,0.2,0.6,0.333,0,0,,0.2,0.6,0.333,0.333,0,0,,0,0.2,0.2,0.2,0,0.2,0,0.2,0.4
109,Travis Diener\dienetr01,PG,25,IND,66,21,20.5,2.4,6.5,0.37,1.1,3.5,0.318,1.3,3,0.431,0.456,1,1.1,0.901,0.4,1.3,1.7,3.8,0.5,0.1,0.8,1.6,6.9
110,Ike Diogu\dioguik01,PF,24,IND,30,1,10.2,2.1,4.5,0.478,0,0,,2.1,4.5,0.478,0.478,1.3,1.6,0.851,1.3,1.6,2.8,0.3,0.2,0.1,0.7,1.4,5.6
111,DeSagana Diop\diopde01,C,26,TOT,79,23,16.4,1.2,2.3,0.522,0,0,,1.2,2.3,0.522,0.522,0.5,0.9,0.543,2,2.9,5,0.5,0.3,1.1,0.7,1.8,2.9
111,DeSagana Diop\diopde01,C,26,DAL,52,18,17.2,1.3,2.2,0.583,0,0,,1.3,2.2,0.583,0.583,0.5,0.8,0.6,2.1,3.1,5.2,0.5,0.4,1.2,0.8,1.9,3
111,DeSagana Diop\diopde01,C,26,NJN,27,5,14.9,1,2.4,0.415,0,0,,1,2.4,0.415,0.415,0.5,1.1,0.467,1.8,2.7,4.5,0.5,0.2,0.9,0.6,1.7,2.5
112,Juan Dixon\dixonju01,PG,29,TOT,53,0,12.6,2,4.9,0.411,0.6,1.4,0.417,1.4,3.5,0.409,0.469,0.4,0.5,0.808,0.3,1.1,1.4,1.8,0.4,0,1,1.2,5
112,Juan Dixon\dixonju01,PG,29,TOR,36,0,11.8,1.6,4.4,0.369,0.5,1.1,0.436,1.2,3.4,0.347,0.422,0.5,0.5,0.947,0.3,1.1,1.3,1.8,0.6,0.1,1,1.1,4.3
112,Juan Dixon\dixonju01,PG,29,DET,17,0,14.4,2.8,5.8,0.48,0.8,1.9,0.394,2,3.8,0.523,0.546,0.2,0.4,0.429,0.4,1.3,1.6,1.9,0,0,1.1,1.4,6.5
113,Michael Doleac\doleami01,C,30,MIN,24,8,10.7,1.2,2.6,0.444,0,0,,1.2,2.6,0.444,0.444,0,0.1,0.5,0.7,1.4,2,0.3,0.4,0.4,0.5,1.8,2.4
114,Keyon Dooling\doolike01,PG,27,ORL,72,1,18.5,2.8,5.9,0.468,0.3,0.9,0.338,2.4,5,0.492,0.494,2.3,2.7,0.845,0.1,1.3,1.4,1.8,0.5,0.1,0.8,1.8,8.1
115,Quincy Douby\doubyqu01,PG,23,SAC,74,0,11.8,1.8,4.5,0.394,0.6,1.6,0.344,1.2,2.9,0.423,0.457,0.6,0.7,0.923,0.2,0.9,1.1,0.7,0.4,0.2,0.8,1.1,4.8
116,Jared Dudley\dudleja01,PF,22,CHA,73,14,19,2.2,4.8,0.468,0.1,0.6,0.22,2.1,4.2,0.502,0.481,1.2,1.6,0.737,1.7,2.3,3.9,1.1,0.8,0.1,0.7,1.8,5.8
117,Chris Duhon\duhonch01,PG,25,CHI,66,18,22.6,2,5.2,0.387,0.8,2.3,0.348,1.2,2.9,0.418,0.465,1,1.2,0.813,0.3,1.5,1.8,4,0.7,0,1.1,1.4,5.8
118,Tim Duncan\duncati01,C,31,SAS,78,78,34,7.5,15.1,0.497,0,0.1,0,7.5,15.1,0.498,0.497,4.3,5.9,0.73,3,8.3,11.3,2.8,0.7,1.9,2.3,2.4,19.3
119,Mike Dunleavy\dunlemi02,SG,27,IND,82,82,36,6.5,13.6,0.476,2,4.7,0.424,4.5,8.9,0.504,0.55,4.1,4.9,0.834,0.7,4.5,5.2,3.5,1,0.4,2.3,2.5,19.1
120,Ronald Dupree\duprero01,SF,27,TOT,5,0,4.2,0.2,0.6,0.333,0,0,,0.2,0.6,0.333,0.333,0.4,0.4,1,0.2,1.4,1.6,0.2,0.2,0,0,0,0.8
120,Ronald Dupree\duprero01,SF,27,DET,1,0,3,0,0,,0,0,,0,0,,,0,0,,0,0,0,0,0,0,0,0,0
120,Ronald Dupree\duprero01,SF,27,SEA,4,0,4.5,0.3,0.8,0.333,0,0,,0.3,0.8,0.333,0.333,0.5,0.5,1,0.3,1.8,2,0.3,0.3,0,0,0,1
121,Kevin Durant\duranke01,SG,19,SEA,80,80,34.6,7.3,17.1,0.43,0.7,2.6,0.288,6.6,14.5,0.455,0.451,4.9,5.6,0.873,0.9,3.5,4.4,2.4,1,0.9,2.9,1.5,20.3
122,Monta Ellis\ellismo01,SG,22,GSW,81,72,37.9,8,15.1,0.531,0.1,0.6,0.231,7.9,14.5,0.545,0.536,4,5.1,0.767,1.6,3.3,5,3.9,1.5,0.3,2.1,2.4,20.2
123,Francisco Elson\elsonfr01,C,31,TOT,63,5,12.9,1.5,3.7,0.39,0,0,0,1.5,3.7,0.391,0.39,0.4,0.6,0.703,0.8,2.4,3.2,0.4,0.2,0.3,0.7,1.5,3.3
123,Francisco Elson\elsonfr01,C,31,SAS,41,3,13,1.5,3.6,0.419,0,0,,1.5,3.6,0.419,0.419,0.5,0.6,0.833,0.8,2.5,3.3,0.4,0.2,0.3,0.7,1.5,3.5
123,Francisco Elson\elsonfr01,C,31,SEA,22,2,12.7,1.4,4,0.341,0,0,0,1.4,4,0.345,0.341,0.3,0.6,0.462,0.8,2.2,3,0.4,0.3,0.3,0.8,1.5,3
124,Melvin Ely\elyme01,C,29,NOH,52,1,11.9,1.6,3.5,0.472,0,0,,1.6,3.5,0.472,0.472,0.6,1.1,0.552,0.5,2.3,2.8,0.4,0.1,0.3,0.8,1.5,3.9
125,Maurice Evans\evansma01,SG,29,TOT,75,47,22.9,3.5,7.3,0.481,1.1,2.8,0.388,2.4,4.5,0.539,0.555,0.8,1.1,0.711,1.2,1.7,2.9,1.1,0.6,0.1,0.5,1.9,8.9
125,Maurice Evans\evansma01,SG,29,LAL,7,0,13.7,1.3,4,0.321,0.1,1,0.143,1.1,3,0.381,0.339,1.7,2.1,0.8,0.6,0.7,1.3,1.7,0.7,0.1,0,1.4,4.4
125,Maurice Evans\evansma01,SG,29,ORL,68,47,23.9,3.7,7.6,0.489,1.2,3,0.396,2.5,4.6,0.549,0.567,0.7,1,0.691,1.3,1.8,3.1,1,0.6,0.1,0.6,1.9,9.3
126,Reggie Evans\evansre01,PF,27,PHI,81,61,23.2,1.9,4.3,0.439,0,0,1,1.9,4.3,0.438,0.441,1.5,3.2,0.467,2.8,4.8,7.5,0.8,1.1,0.1,1.3,2.6,5.2
127,Jordan Farmar\farmajo01,PG,21,LAL,82,0,20.6,3.5,7.7,0.461,1.4,3.7,0.371,2.2,4,0.546,0.552,0.6,1,0.679,0.5,1.8,2.2,2.7,0.9,0.1,1.3,1.3,9.1
128,Nick Fazekas\fazekni01,PF,22,TOT,26,0,10.3,1.8,3.2,0.561,0,0.1,0,1.8,3.1,0.575,0.561,0.6,0.8,0.682,1.3,2.1,3.4,0.4,0.3,0.4,0.5,1,4.1
128,Nick Fazekas\fazekni01,PF,22,DAL,4,0,2.3,0.5,1.3,0.4,0,0,,0.5,1.3,0.4,0.4,0,0,,0.3,0.5,0.8,0,0,0,0,0,1
128,Nick Fazekas\fazekni01,PF,22,LAC,22,0,11.8,2,3.5,0.571,0,0.1,0,2,3.4,0.587,0.571,0.7,1,0.682,1.5,2.4,3.9,0.5,0.4,0.5,0.6,1.1,4.7
129,Raymond Felton\feltora01,PG,23,CHA,79,79,37.6,5.2,12.6,0.413,0.7,2.5,0.28,4.5,10.1,0.447,0.441,3.3,4.1,0.8,0.5,2.5,3,7.4,1.2,0.2,2.7,2.3,14.4
130,Kyrylo Fesenko\fesenky01,C,21,UTA,9,0,7.8,0.7,1.8,0.375,0,0,,0.7,1.8,0.375,0.375,0.2,0.4,0.5,1.6,1.2,2.8,0.2,0,0.3,0.9,2.1,1.6
131,Michael Finley\finlemi01,SG,34,SAS,82,61,26.9,3.8,9.3,0.414,1.6,4.4,0.37,2.2,4.9,0.453,0.501,0.8,1,0.8,0.3,2.8,3.1,1.4,0.4,0.1,0.7,1.1,10.1
132,Derek Fisher\fishede01,PG,33,LAL,82,82,27.4,4.1,9.5,0.436,1.4,3.4,0.406,2.8,6.1,0.453,0.508,2,2.3,0.883,0.3,1.8,2.1,2.9,1,0,1.1,2.3,11.7
133,T.J. Ford\fordtj01,PG,24,TOR,51,26,23.5,4.8,10.3,0.469,0.3,1,0.294,4.5,9.3,0.488,0.484,2.2,2.5,0.88,0.5,1.5,2,6.1,1.1,0,2,1.8,12.1
134,Jeff Foster\fosteje01,C,31,IND,77,52,24.5,2.7,4.8,0.55,0,0,0,2.7,4.8,0.554,0.55,1.1,1.9,0.593,3.4,5.2,8.7,1.7,0.7,0.4,0.8,2.9,6.4
135,Randy Foye\foyera01,PG,24,MIN,39,31,32.3,5.1,11.8,0.429,1.6,3.8,0.412,3.5,8.1,0.436,0.495,1.4,1.7,0.815,0.3,2.9,3.3,4.2,0.9,0.1,2,2.6,13.1
136,Adonal Foyle\foylead01,C,32,ORL,82,0,9.4,0.9,1.9,0.458,0,0,,0.9,1.9,0.458,0.458,0.2,0.4,0.471,0.9,1.7,2.5,0.2,0.2,0.5,0.4,1.1,1.9
137,Richie Frahm\frahmri01,SG,30,LAC,10,2,16.3,2,5.4,0.37,0.7,2.5,0.28,1.3,2.9,0.448,0.435,0,0.2,0,0.4,1,1.4,0.8,0.2,0,0.6,0.7,4.7
138,Steve Francis\francst01,PG,30,HOU,10,3,19.9,1.9,5.7,0.333,0.4,1.7,0.235,1.5,4,0.375,0.368,1.3,2.3,0.565,0.8,1.5,2.3,3,0.9,0.5,1.4,2.5,5.5
139,Channing Frye\fryech01,C,24,POR,78,20,17.2,2.8,5.8,0.488,0,0.1,0.3,2.8,5.7,0.492,0.491,1.1,1.4,0.78,1.4,3.2,4.5,0.7,0.4,0.3,0.7,2.7,6.8
140,Dan Gadzuric\gadzuda01,C,29,MIL,51,4,10.5,1.3,3,0.416,0,0,0,1.3,3,0.418,0.416,0.6,1.2,0.524,1.3,1.5,2.8,0.2,0.4,0.5,0.7,1.6,3.2
141,Jorge Garbajosa\garbajo01,PF,30,TOR,7,0,10.6,1.1,3.6,0.32,0.9,2.3,0.375,0.3,1.3,0.222,0.44,0,0,,0.3,1.9,2.1,0.4,0.4,0,0.1,0.3,3.1
142,Francisco Garcia\garcifr01,SF,26,SAC,79,20,26.5,4.4,9.5,0.463,1.4,3.7,0.391,3,5.9,0.508,0.538,2.1,2.6,0.779,0.7,2.7,3.3,1.6,1.2,0.6,1.6,2.9,12.3
143,Thomas Gardner\gardnth01,SG,22,CHI,4,0,11.3,2.3,5.8,0.391,0.8,3,0.25,1.5,2.8,0.545,0.457,0,0.5,0,0.8,0.3,1,0.3,0,0,1,1,5.3
144,Kevin Garnett\garneke01,PF,31,BOS,71,71,32.8,7.5,13.9,0.539,0,0.2,0,7.5,13.8,0.545,0.539,3.8,4.7,0.801,1.9,7.3,9.2,3.4,1.4,1.3,1.9,2.3,18.8
145,Pat Garrity\garripa01,PF,31,ORL,31,0,9.2,0.9,2.6,0.338,0.3,1.2,0.216,0.6,1.4,0.442,0.388,0.1,0.2,0.8,0.3,1.1,1.4,0.4,0.2,0,0.5,1.1,2.1
146,Pau Gasol\gasolpa01,C,27,TOT,66,66,35.6,7.2,13.5,0.534,0.1,0.2,0.25,7.1,13.2,0.539,0.536,4.4,5.5,0.807,2.3,6,8.4,3.2,0.5,1.5,1.9,2.1,18.9
146,Pau Gasol\gasolpa01,C,27,MEM,39,39,36.7,7.2,14.3,0.501,0.1,0.4,0.267,7.1,13.9,0.507,0.504,4.5,5.5,0.819,2.4,6.4,8.8,3,0.4,1.4,2.1,2.2,18.9
146,Pau Gasol\gasolpa01,C,27,LAL,27,27,34,7.3,12.3,0.589,0,0,0,7.3,12.3,0.59,0.589,4.3,5.4,0.789,2.3,5.6,7.8,3.5,0.5,1.6,1.6,2,18.8
147,Rudy Gay\gayru01,SF,21,MEM,81,81,37,7.7,16.7,0.461,1.7,4.8,0.346,6.1,12,0.507,0.511,3.1,3.9,0.785,1.7,4.4,6.2,2,1.4,1,2.3,2.8,20.1
148,Mickael Gelabale\gelabmi01,SG,24,SEA,39,0,11.9,1.8,4,0.439,0.4,0.9,0.432,1.4,3.1,0.442,0.49,0.4,0.5,0.778,0.4,1.1,1.5,0.8,0.3,0.2,0.7,0.8,4.3
149,Devean George\georgde01,SF,30,DAL,53,4,15.5,1.4,3.9,0.357,0.4,1.3,0.324,1,2.6,0.374,0.411,0.5,0.6,0.706,0.5,2.1,2.6,0.7,0.4,0.2,0.5,1.7,3.7
150,Daniel Gibson\gibsoda01,PG,21,CLE,58,26,30.4,3.5,8,0.432,2,4.6,0.44,1.4,3.4,0.421,0.559,1.5,1.8,0.81,0.5,1.8,2.3,2.5,0.8,0.2,1.3,2.8,10.4
151,Eddie Gill\gilled01,PG,29,TOT,14,1,11,0.9,2.2,0.387,0.4,1.1,0.333,0.5,1.1,0.438,0.468,0.6,0.6,1,0.1,1.5,1.6,1.6,0.5,0.1,0.6,1.3,2.7
151,Eddie Gill\gilled01,PG,29,NJN,13,1,11.5,0.9,2.2,0.414,0.4,1.1,0.357,0.5,1.2,0.467,0.5,0.7,0.7,1,0.1,1.6,1.7,1.6,0.5,0.2,0.6,1.4,2.9
151,Eddie Gill\gilled01,PG,29,SEA,1,0,5,0,2,0,0,1,0,0,1,0,0,0,0,,0,0,0,1,0,0,1,0,0
152,Manu Ginobili\ginobma01,SG,30,SAS,74,23,31.1,6.1,13.3,0.46,2.1,5.3,0.401,4,8,0.499,0.54,5.1,6,0.86,0.9,3.9,4.8,4.5,1.5,0.4,2.7,2.3,19.5
153,Gordan Giricek\giricgo01,SG,30,TOT,56,0,14.8,2.4,5.4,0.44,0.6,1.8,0.364,1.7,3.6,0.478,0.5,0.4,0.5,0.885,0.3,1.4,1.7,1.1,0.4,0.1,0.9,1.5,5.8
153,Gordan Giricek\giricgo01,SG,30,UTA,22,0,12.7,1.9,4.6,0.402,0.5,1.5,0.353,1.3,3.1,0.426,0.461,0,0,1,0.3,1.1,1.4,0.7,0.6,0,1,1.1,4.3
153,Gordan Giricek\giricgo01,SG,30,PHI,12,0,9.2,1.1,3.4,0.317,0.4,1.3,0.333,0.7,2.2,0.308,0.378,0.5,0.7,0.75,0.1,1.1,1.2,0.9,0.3,0.1,0.7,0.8,3.1
153,Gordan Giricek\giricgo01,SG,30,PHO,22,0,20.1,3.6,7.2,0.497,0.9,2.3,0.38,2.7,5,0.55,0.557,0.7,0.8,0.941,0.4,1.9,2.3,1.6,0.4,0.1,1,2.2,8.8
154,Ryan Gomes\gomesry01,PF,25,MIN,82,74,29.7,4.8,10.5,0.457,0.7,2.2,0.33,4.1,8.3,0.491,0.492,2.3,2.8,0.83,1.6,4.2,5.8,1.8,0.8,0.1,1.2,1.9,12.6
155,Drew Gooden\goodedr01,PF,26,TOT,69,65,30.8,4.8,10.7,0.449,0,0.1,0,4.8,10.6,0.452,0.449,2.3,3.1,0.753,2.5,6,8.6,1.2,0.7,0.8,1.8,2.9,12
155,Drew Gooden\goodedr01,PF,26,CLE,51,51,30.7,4.5,10.3,0.444,0,0.1,0,4.5,10.2,0.446,0.444,2.2,3,0.728,2.3,6,8.3,1,0.7,0.6,1.8,2.8,11.3
155,Drew Gooden\goodedr01,PF,26,CHI,18,14,31,5.6,12.1,0.461,0,0.2,0,5.6,11.9,0.467,0.461,2.9,3.6,0.813,3.2,6.1,9.3,1.7,0.7,1.3,1.7,3.3,14
156,Ben Gordon\gordobe01,SG,24,CHI,72,27,31.8,6.4,14.8,0.434,2,4.8,0.41,4.5,10,0.445,0.5,3.7,4.1,0.908,0.6,2.5,3.1,3,0.8,0.1,2.1,2.4,18.6
157,Marcin Gortat\gortama01,C,23,ORL,6,0,6.8,1.3,2.8,0.471,0,0,,1.3,2.8,0.471,0.471,0.3,0.5,0.667,1.3,1.3,2.7,0.3,0.2,0.2,0.3,0.7,3
158,Joey Graham\grahajo01,SF,25,TOR,38,3,8.7,1.3,3,0.434,0.1,0.1,0.667,1.2,2.9,0.427,0.442,1,1.2,0.844,0.5,1.3,1.8,0.4,0.1,0,0.6,1.2,3.6
159,Stephen Graham\grahast01,SF,25,IND,22,0,5.8,1.5,2.6,0.586,0.3,0.6,0.5,1.2,2,0.614,0.647,0.5,0.7,0.75,0.2,0.8,1,0.4,0.2,0,0.5,0.6,4
160,Danny Granger\grangda01,SF,24,IND,80,80,36,6.7,15.1,0.446,2.1,5.3,0.404,4.6,9.8,0.468,0.517,4,4.7,0.852,1.2,4.9,6.1,2.1,1.2,1.1,2.1,3.6,19.6
161,Aaron Gray\grayaa01,C,23,CHI,61,1,10,1.7,3.3,0.505,0,0,0,1.7,3.3,0.507,0.505,0.9,1.6,0.566,1.1,1.6,2.8,0.7,0.3,0.3,0.9,1.9,4.3
162,Gerald Green\greenge01,SF,22,TOT,30,0,12.1,1.7,5,0.344,0.5,1.3,0.385,1.2,3.7,0.33,0.394,1.1,1.4,0.829,0.4,1.7,2.1,1,0.3,0.1,1.1,1.5,5.1
162,Gerald Green\greenge01,SF,22,MIN,29,0,12.3,1.7,5.1,0.331,0.5,1.3,0.385,1.2,3.8,0.312,0.382,1.2,1.4,0.829,0.4,1.8,2.1,1,0.3,0.1,1.1,1.5,5.1
162,Gerald Green\greenge01,SF,22,HOU,1,0,4,3,3,1,0,0,,3,3,1,1,0,0,,2,0,2,0,0,0,0,2,6
163,Jeff Green\greenje02,SF,21,SEA,80,52,28.2,4,9.4,0.427,0.3,1,0.276,3.7,8.4,0.444,0.441,2.2,3,0.744,1.3,3.5,4.7,1.5,0.6,0.6,2,2.5,10.5
164,Taurean Green\greenta01,SG-PG,21,TOT,17,0,4.4,0.4,1.5,0.28,0.1,0.6,0.182,0.3,0.8,0.357,0.32,0.6,0.7,0.917,0,0.6,0.6,0.6,0.1,0,0.5,0.3,1.6
164,Taurean Green\greenta01,PG,21,POR,8,0,5.5,0.5,2,0.25,0.1,1,0.125,0.4,1,0.375,0.281,1,1,1,0,0.5,0.5,1,0.1,0,0.9,0.4,2.1
164,Taurean Green\greenta01,SG,21,DEN,9,0,3.3,0.3,1,0.333,0.1,0.3,0.333,0.2,0.7,0.333,0.389,0.3,0.4,0.75,0,0.7,0.7,0.3,0.1,0,0.2,0.2,1.1
165,Willie Green\greenwi01,SG,26,PHI,74,74,26.6,5.1,11.8,0.436,0.7,2.4,0.285,4.4,9.3,0.475,0.465,1.5,2,0.757,0.4,2,2.5,2,0.7,0.3,1.5,1.6,12.4
166,Orien Greene\greenor01,SG,25,SAC,7,2,8.7,0.4,1.6,0.273,0,0.1,0,0.4,1.4,0.3,0.273,0,0,,0,0.9,0.9,0.4,0.4,0.1,1,1.3,0.9
167,Adrian Griffin\griffad01,SG-SF,33,TOT,35,2,8.8,0.9,2.2,0.395,0,0,,0.9,2.2,0.395,0.395,0.1,0.3,0.556,0.8,0.9,1.7,0.8,0.5,0.1,0.6,0.8,1.9
167,Adrian Griffin\griffad01,SG,33,CHI,22,2,10.1,1.1,2.7,0.4,0,0,,1.1,2.7,0.4,0.4,0.1,0.3,0.429,0.9,0.8,1.7,1,0.5,0,0.7,0.9,2.3
167,Adrian Griffin\griffad01,SF,33,SEA,13,0,6.5,0.5,1.2,0.375,0,0,,0.5,1.2,0.375,0.375,0.2,0.2,1,0.7,1,1.7,0.4,0.4,0.1,0.4,0.6,1.1
168,Richard Hamilton\hamilri01,SG,29,DET,72,72,33.7,6.9,14.3,0.484,0.9,2,0.44,6.1,12.3,0.492,0.515,2.6,3.1,0.833,1,2.2,3.3,4.2,1,0.1,1.8,2.4,17.3
169,Anfernee Hardaway\hardaan01,SF,36,MIA,16,8,20.3,1.4,3.8,0.367,0.5,1.2,0.421,0.9,2.6,0.341,0.433,0.5,0.6,0.889,0.2,2,2.2,2.2,1.2,0.1,0.8,1.5,3.8
170,Matt Harpring\harprma01,SF,31,UTA,76,0,18.1,3.1,6.2,0.5,0,0.1,0.2,3.1,6.1,0.506,0.502,1.9,2.7,0.712,1.3,1.9,3.2,1.1,0.6,0.2,1.3,2.1,8.2
171,Al Harrington\harrial01,C,27,GSW,81,59,27,5,11.4,0.434,1.9,5,0.375,3.1,6.4,0.482,0.517,1.8,2.3,0.774,1.3,4.1,5.4,1.6,0.9,0.2,1.1,3.3,13.6
172,Othella Harrington\harriot01,C,34,CHA,22,0,7.5,0.8,1.9,0.429,0,0,,0.8,1.9,0.429,0.429,0.5,0.7,0.625,0.5,1.4,1.9,0.2,0,0.2,0.5,1.5,2.1
173,Devin Harris\harride01,PG,24,TOT,64,61,31.6,5,10.8,0.463,0.9,2.6,0.335,4.1,8.2,0.504,0.504,3.9,4.7,0.824,0.4,2.3,2.7,5.8,1.4,0.2,2.5,3,14.8
173,Devin Harris\harride01,PG,24,DAL,39,39,30.4,4.8,9.9,0.483,0.6,1.8,0.357,4.2,8.1,0.511,0.516,4.1,5,0.821,0.4,1.9,2.3,5.3,1.4,0.1,2.4,3.3,14.4
173,Devin Harris\harride01,PG,24,NJN,25,22,33.5,5.4,12.2,0.438,1.2,3.9,0.32,4.1,8.4,0.493,0.489,3.5,4.2,0.829,0.4,2.8,3.3,6.5,1.4,0.3,2.7,2.5,15.4
174,Mike Harris\harrimi01,PF,24,HOU,17,0,9.4,1.6,3.2,0.5,0,0.1,0,1.6,3.1,0.519,0.5,0.5,0.8,0.615,1.4,1.8,3.2,0.2,0.4,0.2,0.5,0.9,3.6
175,David Harrison\harrida01,C,25,IND,55,0,12.8,1.6,3.1,0.529,0,0,,1.6,3.1,0.529,0.529,0.9,1.7,0.51,0.8,1.4,2.1,0.3,0.4,1.1,1.1,3,4.2
176,Jason Hart\hartja01,PG,29,UTA,57,0,10.6,1,3.2,0.322,0.2,0.5,0.355,0.8,2.6,0.315,0.353,0.7,0.8,0.844,0.1,0.9,1,1.5,0.5,0.1,0.5,1.3,2.9
177,Udonis Haslem\hasleud01,PF,27,MIA,49,48,36.8,4.8,10.3,0.467,0,0,,4.8,10.3,0.467,0.467,2.3,2.9,0.81,2.2,6.9,9,1.4,0.8,0.4,1.4,3,12
178,Trenton Hassell\hassetr01,SG,28,TOT,63,6,12.3,0.9,2.1,0.422,0,0.1,0.222,0.9,2,0.437,0.43,0.1,0.2,0.7,0.3,1,1.3,0.7,0.2,0,0.3,1.4,2
178,Trenton Hassell\hassetr01,SG,28,DAL,37,6,12.5,1,2.2,0.463,0,0.1,0.25,1,2.1,0.474,0.469,0,0.1,0.5,0.3,0.9,1.2,0.7,0.2,0,0.4,1.5,2.1
178,Trenton Hassell\hassetr01,SG,28,NJN,26,0,11.9,0.8,2.1,0.364,0,0.2,0.2,0.7,1.9,0.38,0.373,0.2,0.3,0.75,0.3,1.2,1.5,0.6,0.2,0.1,0.3,1.3,1.8
179,Spencer Hawes\hawessp01,C,19,SAC,71,8,13.1,2.1,4.5,0.459,0.1,0.3,0.19,2,4.2,0.478,0.465,0.5,0.8,0.655,1,2.3,3.2,0.6,0.2,0.6,0.8,1.8,4.7
180,Chuck Hayes\hayesch01,PF,24,HOU,79,44,19.9,1.4,2.8,0.511,0,0,0,1.4,2.8,0.518,0.511,0.1,0.3,0.458,1.7,3.7,5.4,1.2,1.1,0.5,0.8,2.7,3
181,Jarvis Hayes\hayesja01,SF,26,DET,82,1,15.7,2.6,6.1,0.431,0.9,2.4,0.376,1.8,3.8,0.465,0.503,0.5,0.7,0.75,0.4,1.7,2.2,0.8,0.6,0.1,0.6,1.7,6.7
182,Brendan Haywood\haywobr01,C,28,WAS,80,80,27.9,4,7.5,0.528,0,0,,4,7.5,0.528,0.528,2.7,3.7,0.735,3.4,3.8,7.2,0.9,0.4,1.7,1.4,2.7,10.6
183,Luther Head\headlu01,SG,25,HOU,73,17,18.9,2.8,6.5,0.432,1.1,3.1,0.351,1.7,3.5,0.504,0.515,0.9,1.1,0.815,0.2,1.6,1.8,1.9,0.6,0.1,1,1,7.6
184,Walter Herrmann\herrmwa01,PF,28,TOT,45,0,8.3,1.2,3.2,0.389,0.4,1.4,0.313,0.8,1.8,0.45,0.458,0.5,0.6,0.84,0.5,1.1,1.6,0.4,0.2,0,0.3,0.5,3.4
184,Walter Herrmann\herrmwa01,PF,28,CHA,17,0,10.2,1.5,3.8,0.385,0.5,1.5,0.346,0.9,2.3,0.41,0.454,0.5,0.6,0.9,0.6,1.5,2.1,0.2,0.2,0,0.2,0.7,4
