"","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10"
"1","All-NBA 1st Team","All-NBA 1st Team","All-NBA 1st Team","All-NBA 1st Team","All-NBA 1st Team","All-NBA 1st Team","All-NBA 1st Team","All-NBA 1st Team","All-NBA 1st Team","All-NBA 1st Team"
"2","YEAR","PLAYER","POS","TEAM","FG%","PPG","RPG","APG","BLKPG",NA
"3","2018","LeBron James","F","Cleveland Cavaliers",".542","27.5","8.6","9.1","0.9",NA
"4","","Kevin Durant","F","Golden State Warriors",".516","26.4","6.8","5.4","1.8",NA
"5","","James Harden","G","Houston Rockets",".449","30.4","5.4","8.8","0.7",NA
"6","","Anthony Davis","F","New Orleans Pelicans",".534","28.1","11.1","2.3","2.6",NA
"7","","Damian Lillard","G","Portland Trail Blazers",".439","26.9","4.5","6.6","0.4",NA
"8","2017","LeBron James","F","Cleveland Cavaliers",".548","26.4","8.6","8.7","0.6",NA
"9","","Russell Westbrook","G","Oklahoma City Thunder",".425","31.6","10.7","10.4","0.4",NA
"10","","James Harden","G","Houston Rockets",".440","29.1","8.1","11.2","0.5",NA
"11","","Kawhi Leonard","F","San Antonio Spurs",".485","25.5","5.8","3.5","0.7",NA
"12","","Anthony Davis","F","New Orleans Pelicans",".505","28.0","11.8","2.1","2.2",NA
"13","2016","LeBron James","F","Cleveland Cavaliers",".520","25.3","7.4","6.8","0.6",NA
"14","","DeAndre Jordan","C","LA Clippers",".703","12.7","13.8","1.2","2.3",NA
"15","","Russell Westbrook","G","Oklahoma City Thunder",".454","23.5","7.8","10.4","0.3",NA
"16","","Stephen Curry","G","Golden State Warriors",".504","30.1","5.4","6.7","0.2",NA
"17","","Kawhi Leonard","F","San Antonio Spurs",".505","21.2","6.8","2.6","1.0",NA
"18","2015","LeBron James","F","Cleveland Cavaliers",".488","25.3","6.0","7.4","0.7",NA
"19","","Marc Gasol","C","Memphis Grizzlies",".494","17.4","7.8","3.8","1.6",NA
"20","","Stephen Curry","G","Golden State Warriors",".487","23.8","4.3","7.7","0.2",NA
"21","","James Harden","G","Houston Rockets",".440","27.4","5.7","7.0","0.7",NA
"22","","Anthony Davis","F","New Orleans Pelicans",".535","24.4","10.2","2.2","2.9",NA
"23","2014","LeBron James","F","Miami Heat",".567","27.1","6.9","6.4","0.3",NA
"24","","Chris Paul","G","LA Clippers",".467","19.1","4.3","10.7","0.1",NA
"25","","Kevin Durant","F","Oklahoma City Thunder",".503","32.0","7.4","5.5","0.7",NA
"26","","Joakim Noah","C","Chicago Bulls",".475","12.6","11.3","5.4","1.5",NA
"27","","James Harden","G","Houston Rockets",".456","25.4","4.7","6.1","0.4",NA
"28","2013","Kobe Bryant","G","Los Angeles Lakers",".463","27.3","5.6","6.0","0.3",NA
"29","","Tim Duncan","F","San Antonio Spurs",".502","17.8","9.9","2.7","2.7",NA
"30","","LeBron James","F","Miami Heat",".565","26.8","8.0","7.3","0.9",NA
"31","","Chris Paul","G","LA Clippers",".481","16.9","3.7","9.7","0.1",NA
"32","","Kevin Durant","F","Oklahoma City Thunder",".510","28.1","7.9","4.6","1.3",NA
"33","2012","Kobe Bryant","G","Los Angeles Lakers",".430","27.9","5.4","4.6","0.3",NA
"34","","LeBron James","F","Miami Heat",".531","27.1","7.9","6.2","0.8",NA
"35","","Dwight Howard","C","Los Angeles Lakers",".573","20.6","14.5","1.9","2.1",NA
"36","","Chris Paul","G","LA Clippers",".478","19.8","3.6","9.1","0.1",NA
"37","","Kevin Durant","F","Oklahoma City Thunder",".496","28.0","8.0","3.5","1.2",NA
"38","2011","Kobe Bryant","SF","Los Angeles Lakers",".451","25.3","5.1","4.7","0.1",NA
"39","","LeBron James","SF","Miami Heat",".510","26.7","7.5","7.0","0.6",NA
"40","","Dwight Howard","C","Orlando Magic",".593","22.9","14.1","1.4","2.4",NA
"41","","Kevin Durant","SF","Oklahoma City Thunder",".462","27.7","6.8","2.7","1.0",NA
"42","","Derrick Rose","PG","Chicago Bulls",".445","25.0","4.1","7.7","0.6",NA
"43","2010","Kobe Bryant","G","Los Angeles Lakers",".456","27.0","5.4","5.0","0.3",NA
"44","","LeBron James","F","Cleveland Cavaliers",".503","29.7","7.3","8.6","1.0",NA
"45","","Dwyane Wade","G","Miami Heat",".476","26.6","4.8","6.5","1.1",NA
"46","","Dwight Howard","C","Orlando Magic",".612","18.3","13.2","1.8","2.8",NA
"47","","Kevin Durant","F","Oklahoma City Thunder",".476","30.1","7.6","2.8","1.0",NA
"48","2009","Kobe Bryant","G","Los Angeles Lakers",".467","26.8","5.2","4.9","0.5",NA
"49","","Dirk Nowitzki","F","Dallas Mavericks",".479","25.9","8.4","2.4","0.8",NA
"50","","LeBron James","F","Cleveland Cavaliers",".489","28.4","7.6","7.2","1.1",NA
"51","","Dwyane Wade","G","Miami Heat",".491","30.2","5.0","7.5","1.3",NA
"52","","Dwight Howard","C","Orlando Magic",".572","20.6","13.8","1.4","2.9",NA
"53","2008","Kobe Bryant","G","Los Angeles Lakers",".459","28.3","6.3","5.4","0.5",NA
"54","","Kevin Garnett","F","Boston Celtics",".539","18.8","9.2","3.4","1.3",NA
"55","","LeBron James","F","Cleveland Cavaliers",".484","30.0","7.9","7.2","1.1",NA
"56","","Dwight Howard","C","Orlando Magic",".599","20.7","14.2","1.3","2.1",NA
"57","","Chris Paul","G","New Orleans Hornets",".488","21.1","4.0","11.6","0.1",NA
"58","2007","Kobe Bryant","G","Los Angeles Lakers",".463","31.6","5.7","5.4","0.5",NA
"59","","Tim Duncan","F","San Antonio Spurs",".546","20.0","10.6","3.4","2.4",NA
"60","","Steve Nash","G","Phoenix Suns",".532","18.6","3.5","11.6","0.1",NA
"61","","Dirk Nowitzki","F","Dallas Mavericks",".502","24.6","8.9","3.4","0.8",NA
"62","","Amar'e Stoudemire","C","Phoenix Suns",".575","20.4","9.6","1.0","1.3",NA
"63","2006","Kobe Bryant","G","Los Angeles Lakers",".450","35.4","5.3","4.5","0.4",NA
"64","","Steve Nash","G","Phoenix Suns",".512","18.8","4.2","10.5","0.2",NA
"65","","Dirk Nowitzki","F","Dallas Mavericks",".480","26.6","9.0","2.8","1.0",NA
"66","","Shaquille O'Neal","C","Miami Heat",".600","20.0","9.2","1.9","1.8",NA
"67","","LeBron James","F","Cleveland Cavaliers",".480","31.4","7.0","6.6","0.8",NA
"68","2005","Tim Duncan","F","San Antonio Spurs",".496","20.3","11.1","2.7","2.6",NA
"69","","Allen Iverson","G","Philadelphia 76ers",".424","30.7","4.0","7.9","0.1",NA
"70","","Steve Nash","G","Phoenix Suns",".502","15.5","3.3","11.5","0.1",NA
"71","","Dirk Nowitzki","F","Dallas Mavericks",".459","26.1","9.7","3.1","1.5",NA
"72","","Shaquille O'Neal","C","Miami Heat",".601","22.9","10.4","2.7","2.3",NA
"73","2004","Kobe Bryant","G","Los Angeles Lakers",".438","24.0","5.5","5.1","0.4",NA
"74","","Tim Duncan","F","San Antonio Spurs",".501","22.3","12.4","3.1","2.7",NA
"75","","Kevin Garnett","F","Minnesota Timberwolves",".499","24.2","13.9","5.0","2.2",NA
"76","","Jason Kidd","G","New Jersey Nets",".384","15.5","6.4","9.2","0.2",NA
"77","","Shaquille O'Neal","C","Los Angeles Lakers",".584","21.5","11.5","2.9","2.5",NA
"78","2003","Kobe Bryant","G","Los Angeles Lakers",".451","30.0","6.9","5.9","0.8",NA
"79","","Tim Duncan","F","San Antonio Spurs",".513","23.3","12.9","3.9","2.9",NA
"80","","Kevin Garnett","F","Minnesota Timberwolves",".502","23.0","13.4","6.0","1.6",NA
"81","","Tracy McGrady","G","Orlando Magic",".457","32.1","6.5","5.5","0.8",NA
"82","","Shaquille O'Neal","C","Los Angeles Lakers",".574","27.5","11.1","3.1","2.4",NA
"83","2002","Kobe Bryant","G","Los Angeles Lakers",".469","25.2","5.5","5.5","0.4",NA
"84","","Tim Duncan","F","San Antonio Spurs",".508","25.5","12.7","3.7","2.5",NA
"85","","Jason Kidd","G","New Jersey Nets",".391","14.7","7.3","9.9","0.2",NA
"86","","Tracy McGrady","F","Orlando Magic",".451","25.6","7.9","5.3","1.0",NA
"87","","Shaquille O'Neal","C","Los Angeles Lakers",".579","27.2","10.7","3.0","2.0",NA
"88","2001","Tim Duncan","F","San Antonio Spurs",".499","22.2","12.2","3.0","2.3",NA
"89","","Allen Iverson","G","Philadelphia 76ers",".420","31.1","3.8","4.6","0.3",NA
"90","","Jason Kidd","G","Phoenix Suns",".411","16.9","6.4","9.8","0.3",NA
"91","","Shaquille O'Neal","C","Los Angeles Lakers",".572","28.7","12.7","3.7","2.8",NA
"92","","Chris Webber","F","Sacramento Kings",".481","27.1","11.1","4.2","1.7",NA
"93","2000","Tim Duncan","F","San Antonio Spurs",".490","23.2","12.4","3.2","2.2",NA
"94","","Kevin Garnett","F","Minnesota Timberwolves",".497","22.9","11.8","5.0","1.6",NA
"95","","Jason Kidd","G","Phoenix Suns",".409","14.3","7.2","10.1","0.4",NA
"96","","Shaquille O'Neal","C","Los Angeles Lakers",".574","29.7","13.6","3.8","3.0",NA
"97","","Gary Payton","G","Seattle SuperSonics",".448","24.2","6.5","8.9","0.2",NA
"98","1999","Tim Duncan","F","San Antonio Spurs",".495","21.7","11.4","2.4","2.5",NA
"99","","Allen Iverson","G","Philadelphia 76ers",".412","26.8","4.9","4.6","0.1",NA
"100","","Jason Kidd","G","Phoenix Suns",".444","16.9","6.8","10.8","0.4",NA
"101","","Karl Malone","F","Utah Jazz",".493","23.8","9.4","4.1","0.6",NA
"102","","Alonzo Mourning","C","Miami Heat",".511","20.1","11.0","1.6","3.9",NA
"103","1998","Tim Duncan","F","San Antonio Spurs",".549","21.1","11.9","2.7","2.5",NA
"104","","Karl Malone","F","Utah Jazz",".530","27.0","10.3","3.9","0.9",NA
"105","","Shaquille O'Neal","C","Los Angeles Lakers",".584","28.3","11.4","2.4","2.4",NA
"106","","Gary Payton","G","Seattle SuperSonics",".453","19.2","4.6","8.3","0.2",NA
"107","","Michael Jordan","G","Chicago Bulls",".465","28.7","5.8","3.5","0.5",NA
"108","1997","Tim Hardaway","G","Miami Heat",".415","20.3","3.4","8.6","0.1",NA
"109","","Grant Hill","F","Detroit Pistons",".496","21.4","9.0","7.3","0.6",NA
"110","","Karl Malone","F","Utah Jazz",".550","27.4","9.9","4.5","0.6",NA
"111","","Hakeem Olajuwon","C","Houston Rockets",".510","23.2","9.2","3.0","2.2",NA
"112","","Michael Jordan","G","Chicago Bulls",".486","29.6","5.9","4.3","0.5",NA
"113","1996","Anfernee Hardaway","G","Orlando Magic",".513","21.7","4.3","7.1","0.5",NA
"114","","Karl Malone","F","Utah Jazz",".519","25.7","9.8","4.2","0.7",NA
"115","","Scottie Pippen","F","Chicago Bulls",".463","19.4","6.4","5.9","0.7",NA
"116","","David Robinson","C","San Antonio Spurs",".516","25.0","12.2","3.0","3.3",NA
"117","","Michael Jordan","G","Chicago Bulls",".495","30.4","6.6","4.3","0.5",NA
"118","1995","Anfernee Hardaway","G","Orlando Magic",".512","20.9","4.4","7.2","0.3",NA
"119","","Karl Malone","F","Utah Jazz",".536","26.7","10.6","3.5","1.0",NA
"120","","Scottie Pippen","F","Chicago Bulls",".480","21.4","8.1","5.2","1.1",NA
"121","","David Robinson","C","San Antonio Spurs",".530","27.6","10.8","2.9","3.2",NA
"122","","John Stockton","G","Utah Jazz",".542","14.7","3.1","12.3","0.3",NA
"123","1994","Karl Malone","F","Utah Jazz",".497","25.2","11.5","4.0","1.5",NA
"124","","Hakeem Olajuwon","C","Houston Rockets",".528","27.3","11.9","3.6","3.7",NA
"125","","Scottie Pippen","F","Chicago Bulls",".491","22.0","8.7","5.6","0.8",NA
"126","","Latrell Sprewell","G","Golden State Warriors",".433","21.0","4.9","4.7","0.9",NA
"127","","John Stockton","G","Utah Jazz",".528","15.1","3.1","12.6","0.3",NA
"128","1993","Charles Barkley","F","Phoenix Suns",".520","25.6","12.2","5.1","1.0",NA
"129","","Karl Malone","F","Utah Jazz",".552","27.0","11.2","3.8","1.0",NA
"130","","Hakeem Olajuwon","C","Houston Rockets",".529","26.1","13.0","3.5","4.2",NA
"131","","Michael Jordan","G","Chicago Bulls",".495","32.6","6.7","5.5","0.8",NA
